,kingdom,phylum,class,order,family,genus,species,acceptedUsageKey
1,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter brevipes,2480578
2,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus melanopogon,2493124
3,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus paludicola,2493114
4,Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,Aegolius funereus,5739298
5,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,Aegypius monachus,5229165
6,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,Alcedo atthis,2475532
7,Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris,Alectoris barbara,2474045
8,Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,2474055
9,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser erythropus,2498026
10,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus campestris,2490274
11,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,Apus caffer,5228644
12,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila adalberti,2480510
13,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos,2480506
14,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila clanga,2480509
15,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila heliaca,2480500
16,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila pomarina,2480505
17,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea purpurea,2480934
18,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardeola,Ardeola ralloides,2480906
19,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,2497295
20,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya nyroca,2498259
21,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tetrastes,Tetrastes bonasia,2473663
22,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,Botaurus stellaris,2480910
23,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta leucopsis,5232464
24,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,Branta ruficollis,5232451
25,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,Bubo bubo,5959092
26,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Bucanetes,Bucanetes githagineus,2494394
27,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Bulweria,Bulweria bulwerii,2481606
28,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,Burhinus oedicnemus,2482100
29,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo rufinus,2480564
30,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Calandrella,Calandrella brachydactyla,2490681
31,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,Calonectris diomedea,2481521
32,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,Caprimulgus europaeus,8109681
33,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius alexandrinus,2480311
34,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius morinellus,2480281
35,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Chersophilus,Chersophilus duponti,2490674
36,Animalia,Chordata,Aves,Otidiformes,Otididae,Chlamydotis,Chlamydotis undulata,2474864
37,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,Chlidonias hybrida,2481121
38,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,Chlidonias niger,2481119
39,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,Ciconia ciconia,2481912
40,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,Ciconia nigra,2481909
41,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,Circaetus gallicus,2480666
42,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus aeruginosus,2480482
43,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus cyaneus,2480487
44,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus macrourus,2480491
45,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus pygargus,2480495
46,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba trocaz,2495406
47,Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Coracias,Coracias garrulus,2475365
48,Animalia,Chordata,Aves,Gruiformes,Rallidae,Crex,Crex crex,4408498
49,Animalia,Chordata,Aves,Charadriiformes,Glareolidae,Cursorius,Cursorius cursor,2480740
50,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus columbianus,2498338
51,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus cygnus,2498347
52,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,Dendrocopos leucotos,2477927
53,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocoptes,Dendrocoptes medius,8773033
54,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,Dendrocopos syriacus,2478031
55,Animalia,Chordata,Aves,Piciformes,Picidae,Dryocopus,Dryocopus martius,2477872
56,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta,2480876
57,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,Elanus caeruleus,2480372
58,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza caesia,2491490
59,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza cineracea,2491469
60,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza hortulana,2491482
61,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco biarmicus,8014966
62,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco cherrug,2481034
63,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco columbarius,9813242
64,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco eleonorae,2481037
65,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco naumanni,9584698
66,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco peregrinus,2481047
67,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco rusticolus,8069880
68,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco vespertinus,2481062
69,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula albicollis,2492601
70,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula parva,2492605
71,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula semitorquata,2492608
72,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Fulica cristata,2474381
73,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Galerida,Galerida theklae,9330514
74,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,Gallinago media,2481831
75,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia arctica,2481959
76,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia immer,2481962
77,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia stellata,2481958
78,Animalia,Chordata,Aves,Charadriiformes,Glareolidae,Glareola,Glareola pratincola,2480757
79,Animalia,Chordata,Aves,Strigiformes,Strigidae,Glaucidium,Glaucidium passerinum,5232162
80,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,Grus grus,2474950
81,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gypaetus,Gypaetus barbatus,2480649
82,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,Gyps fulvus,2480389
83,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus albicilla,2480449
84,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila fasciata,5844449
85,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus pennatus,2480685
86,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,Himantopus himantopus,5229126
87,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Hippolais,Hippolais olivetorum,2493219
88,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus spinosus,5229142
89,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Hydrobates,Hydrobates pelagicus,4408455
90,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,Ixobrychus minutus,2480850
91,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius collurio,7745240
92,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius minor,2492854
93,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius nubicus,2492855
94,Animalia,Chordata,Aves,Charadriiformes,Laridae,Ichthyaetus,Ichthyaetus audouinii,7406504
95,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus genei,6065810
96,Animalia,Chordata,Aves,Charadriiformes,Laridae,Ichthyaetus,Ichthyaetus melanocephalus,8151548
97,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydrocoloeus,Hydrocoloeus minutus,6065841
98,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa lapponica,2481681
99,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,Loxia scotica,2494177
100,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Lullula,Lullula arborea,2490604
101,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia,Luscinia svecica,4408732
102,Animalia,Chordata,Aves,Anseriformes,Anatidae,Marmaronetta,Marmaronetta angustirostris,2498390
103,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Melanocorypha,Melanocorypha calandra,2490613
104,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergellus,Mergellus albellus,2498285
105,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus migrans,5229167
106,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,5229168
107,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Neophron,Neophron percnopterus,2480696
108,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius tenuirostris,2481789
109,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,Bubo scandiacus,5959143
110,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,Nycticorax nycticorax,2480863
111,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma castro,2482001
112,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma leucorhoa,2482012
113,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe cypriaca,5231234
114,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe leucura,5231236
115,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe pleschanka,5231233
116,Animalia,Chordata,Aves,Otidiformes,Otididae,Otis,Otis tarda,2474921
117,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,Oxyura leucocephala,2498302
118,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,Pandion haliaetus,2480726
119,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Pelagodroma,Pelagodroma marina,2481991
120,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus crispus,2480353
121,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus onocrotalus,2480350
122,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis,Pernis apivorus,2480420
123,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Microcarbo,Microcarbo pygmeus,6066518
124,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,Phalaropus lobatus,5739290
125,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris pugnax,8250742
126,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus ruber,9691034
127,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,Picoides tridactylus,2477804
128,Animalia,Chordata,Aves,Piciformes,Picidae,Picus,Picus canus,2478548
129,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,Platalea leucorodia,2480801
130,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,Plegadis falcinellus,2480773
131,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis apricaria,2480332
132,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps auritus,2482059
133,Animalia,Chordata,Aves,Anseriformes,Anatidae,Polysticta,Polysticta stelleri,5232431
134,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,Porphyrio porphyrio,2474416
135,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana parva,2474627
136,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana porzana,2474621
137,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana pusilla,2474628
138,Animalia,Chordata,Aves,Pteroclidiformes,Pteroclididae,Pterocles,Pterocles alchata,2480204
139,Animalia,Chordata,Aves,Pteroclidiformes,Pteroclididae,Pterocles,Pterocles orientalis,2480193
140,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma feae,2481473
141,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma madeira,2481463
142,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus assimilis,5739275
143,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus,5229360
144,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus yelkouan,5229377
145,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,Pyrrhocorax pyrrhocorax,2482552
146,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,Recurvirostra avosetta,2480259
147,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta krueperi,2484880
148,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta whiteheadi,2484886
149,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,Sternula albifrons,5789279
150,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydroprogne,Hydroprogne caspia,2481236
151,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna dougallii,5229249
152,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna hirundo,9367409
153,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna paradisaea,5229230
154,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Thalasseus sandvicensis,2481240
155,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix nebulosa,2497522
156,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix uralensis,2497509
157,Animalia,Chordata,Aves,Strigiformes,Strigidae,Surnia,Surnia ulula,2497894
158,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia melanothorax,2492953
159,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia nisoria,2492955
160,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia ruppeli,6100917
161,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia sarda,2492965
162,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia undata,2492949
163,Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,Tadorna ferruginea,2498015
164,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tetrao,Tetrao urogallus,2473577
165,Animalia,Chordata,Aves,Otidiformes,Otididae,Tetrax,Tetrax tetrax,5228228
166,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa glareola,2481713
167,Animalia,Chordata,Aves,Charadriiformes,Turnicidae,Turnix,Turnix sylvaticus,2475001
168,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Xenus,Xenus cinereus,2481703
