"","family","totalOcc","Order"
"1","Columbidae",1,"Columbiformes"
"2","Turnicidae",3,"Charadriiformes"
"3","Phalacrocoracidae",823,"Suliformes"
"4","Apodidae",3626,"Apodiformes"
"5","Fringillidae",5677,"Passeriformes"
"6","Sittidae",5890,"Passeriformes"
"7","Phoenicopteridae",23310,"Phoenicopteriformes"
"8","Pelecanidae",39969,"Pelecaniformes"
"9","Glareolidae",41514,"Charadriiformes"
"10","Pteroclididae",42850,"Pteroclidiformes"
"11","Hydrobatidae",71432,"Procellariiformes"
"12","Acrocephalidae",71930,"Passeriformes"
"13","Motacillidae",105188,"Passeriformes"
"14","Procellariidae",106949,"Procellariiformes"
"15","Coraciidae",109037,"Coraciiformes"
"16","Emberizidae",114748,"Passeriformes"
"17","Otididae",130210,"Otidiformes"
"18","Burhinidae",135550,"Charadriiformes"
"19","Corvidae",174325,"Passeriformes"
"20","Caprimulgidae",202447,"Caprimulgiformes"
"21","Sylviidae",221104,"Passeriformes"
"22","Phasianidae",246808,"Galliformes"
"23","Podicipedidae",372253,"Podicipediformes"
"24","Rallidae",381350,"Gruiformes"
"25","Strigidae",712689,"Strigiformes"
"26","Pandionidae",782054,"Accipitriformes"
"27","Laniidae",879586,"Passeriformes"
"28","Alaudidae",978857,"Passeriformes"
"29","Muscicapidae",1070052,"Passeriformes"
"30","Threskiornithidae",1101065,"Pelecaniformes"
"31","Charadriidae",1130244,"Charadriiformes"
"32","Gaviidae",1266690,"Gaviiformes"
"33","Recurvirostridae",1339801,"Charadriiformes"
"34","Alcedinidae",1438238,"Coraciiformes"
"35","Ciconiidae",1474183,"Ciconiiformes"
"36","Picidae",1481960,"Piciformes"
"37","Falconidae",1491616,"Falconiformes"
"38","Gruidae",1944745,"Gruiformes"
"39","Ardeidae",2289122,"Pelecaniformes"
"40","Scolopacidae",2575892,"Charadriiformes"
"41","Anatidae",4193522,"Anseriformes"
"42","Laridae",4422957,"Charadriiformes"
"43","Accipitridae",9913320,"Accipitriformes"
