"","specieskey","Total_Occ","scientificName"
"1",1315391,2,"Wasmannia auropunctata (Roger, 1863)"
"2",2225776,18003,"Eriocheir sinensis H.Milne Edwards, 1853"
"3",2226990,95938,"Pacifastacus leniusculus (Dana, 1852)"
"4",2227300,42692,"Procambarus clarkii (Girard, 1852)"
"5",2340977,26679,"Ameiurus melas (Rafinesque, 1820)"
"6",2350570,5867,"Gambusia holbrooki Girard, 1859"
"7",2350580,5478,"Gambusia affinis (Baird & Girard, 1853)"
"8",2362868,78242,"Pseudorasbora parva (Temminck & Schlegel, 1846)"
"9",2390064,1074,"Perccottus glenii Dybowski, 1877"
"10",2394486,128034,"Lepomis gibbosus (Linnaeus, 1758)"
"11",2427091,20303,"Lithobates catesbeianus (Shaw, 1802)"
"12",2433536,9,"Nasua nasua (Linnaeus, 1766)"
"13",2434552,8539,"Nyctereutes procyonoides (Gray, 1834)"
"14",2437394,887,"Callosciurus erythraeus (Pallas, 1779)"
"15",2437399,24,"Callosciurus finlaysonii (Horsfield, 1823)"
"16",2437450,4889,"Tamias sibiricus (Laxmann, 1769)"
"17",2440934,57,"Axis axis (Erxleben, 1777)"
"18",2440946,22864,"Muntiacus reevesi (Ogilby, 1839)"
"19",2443002,51246,"Trachemys scripta (Thunberg In Schoepff, 1792)"
"20",2480764,15467,"Threskiornis aethiopicus (Latham, 1790)"
"21",2482499,1246,"Corvus splendens Vieillot, 1817"
"22",2486131,322,"Pycnonotus cafer (Linnaeus, 1766)"
"23",2489005,1186,"Acridotheres tristis (Linnaeus, 1766)"
"24",2498252,1038616,"Alopochen aegyptiaca (Linnaeus, 1766)"
"25",2498305,48988,"Oxyura jamaicensis (J.F.Gmelin, 1789)"
"26",2502792,4652,"Arthurdendyus triangulatus (Dendy, 1895)"
"27",2650436,6,"Lygodium japonicum (Thunb.) Sw."
"28",2702865,24,"Ehrharta calycina Sm."
"29",2706080,60,"Andropogon virginicus L."
"30",2765942,815,"Pontederia crassipes Mart."
"31",2865565,3388,"Lagarosiphon major (Ridl.) Moss"
"32",2869311,11640,"Lysichiton americanus Hultén & H.St.John"
"33",2870583,900,"Pistia stratiotes L."
"34",2882443,663,"Cabomba caroliniana A.Gray"
"35",2891770,395400,"Impatiens glandulifera Royle"
"36",2978552,2320,"Acacia saligna (Labill.) H.L.Wendl."
"37",2984306,14948,"Gunnera tinctoria (Molina) Mirb."
"38",2984537,233,"Humulus scandens (Lour.) Merr."
"39",3034825,146615,"Heracleum mantegazzianum Sommier & Levier"
"40",3054399,4,"Triadica sebifera (L.) Small"
"41",3084923,347,"Alternanthera philoxeroides (Mart.) Griseb."
"42",3086784,13,"Parthenium hysterophorus L."
"43",3129663,10287,"Baccharis halimifolia L."
"44",3170247,5620,"Asclepias syriaca L."
"45",3189935,110,"Cardiospermum grandiflorum Sw."
"46",3190653,89690,"Ailanthus altissima (Mill.) Swingle"
"47",3642949,25184,"Heracleum sosnowskyi Manden."
"48",4033648,19,"Persicaria perfoliata (L.) H.Gross"
"49",4264680,96184,"Myocastor coypus (Molina, 1782)"
"50",5035230,6,"Solenopsis invicta Buren, 1972"
"51",5217334,643,"Xenopus laevis (Daudin, 1802)"
"52",5218786,20737,"Procyon lotor (Linnaeus, 1758)"
"53",5219681,276028,"Sciurus carolinensis Gmelin, 1788"
"54",5219683,34,"Sciurus niger Linnaeus, 1758"
"55",5219858,634997,"Ondatra zibethicus (Linnaeus, 1766)"
"56",5274863,151,"Salvinia ×molesta D.S.Mitch."
"57",5289808,1,"Microstegium vimineum (Trin.) A.Camus"
"58",5329212,91189,"Elodea nuttallii (Planch.) H.St.John"
"59",5361762,1041,"Myriophyllum heterophyllum Michx."
"60",5361785,7043,"Myriophyllum aquaticum (Vell.) Verdc."
"61",5420991,9000,"Ludwigia peploides (Kunth) P.H.Raven"
"62",5421039,16597,"Ludwigia grandiflora (Michx.) Greuter & Burdet"
"63",5712056,1175,"Fundulus heteroclitus (Linnaeus, 1766)"
"64",5824863,267,"Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009"
"65",5828232,1230,"Cenchrus setaceus (Forssk.) Morrone"
"66",6063677,17,"Gymnocoronis spilanthoides DC."
"67",7287606,614,"Hakea sericea Schrad. & J.C.Wendl."
"68",7978544,16779,"Hydrocotyle ranunculoides L.fil."
"69",8114276,2,"Lespedeza cuneata (Dum.Cours.) G.Don"
"70",8848208,3203,"Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal"
"71",8909595,47591,"Faxonius limosus (Rafinesque, 1817)"
"72",8971201,705,"Faxonius virilis (Hagen, 1870)"
"73",8979506,2,"Faxonius rusticus (Girard, 1852)"
"74",9442269,185,"Procambarus virginalis Lyko, 2017"
"75",9799308,3,"Lampropeltis getula (Linnaeus, 1766)"
